Supplier_ID,Supplier_Name,Material_ID,Material_Name,OnTime_Delivery_Percentage,Quality_Score,Average_Price_Deviation,Fulfilled_Order_Count,Complaint_Count,Lead_Days,Discount_Offer_Percentage,Create_Datetime
S042,Supplier_S042,M171,Lactic Acid,86.41,4.8,-8.14,618,19,7,21.14,23-06-25 19:47:57
S042,Supplier_S042,M216,Monosodium Glutamate,76.62,4.7,-6.11,195,18,0,25.54,23-06-25 19:47:57
S042,Supplier_S042,M248,Disodium Guanylate,85.96,3.5,-6.24,80,5,2,8.69,23-06-25 19:47:57
S042,Supplier_S042,M312,Whey Protein,77.94,3.9,-0.17,960,6,9,11.78,23-06-25 19:47:57
S042,Supplier_S042,M349,Caramel Color,85.87,4.4,9.29,185,17,0,29.21,23-06-25 19:47:57
S042,Supplier_S042,M377,Sodium Benzoate,91.27,4,-0.14,876,4,1,10.49,23-06-25 19:47:57
S042,Supplier_S042,M381,Sucralose,93.38,3.6,5.05,679,4,1,8.96,23-06-25 19:47:57
S042,Supplier_S042,M466,Whey Protein,97.08,4.5,-5.59,273,15,10,3.69,23-06-25 19:47:57
S043,Supplier_S043,M091,Tomato Powder,98.04,3.5,8.95,541,9,1,7.52,23-06-25 19:47:57
S043,Supplier_S043,M132,Pectin,71.33,5,3.55,419,10,6,3.18,23-06-25 19:47:57
S043,Supplier_S043,M137,Barley Malt Extract,98.56,4,-6.1,403,17,8,19.59,23-06-25 19:47:57
S043,Supplier_S043,M153,Acetic Acid,92.49,4.7,4.66,130,0,5,24.21,23-06-25 19:47:57
S043,Supplier_S043,M170,Gum Arabic,95.37,3.6,-3.63,984,3,1,10.25,23-06-25 19:47:57
S043,Supplier_S043,M226,Gum Arabic,80.28,3.9,1.81,245,12,6,3.97,23-06-25 19:47:57
S043,Supplier_S043,M243,Natural Flavors,94.23,3.7,2.63,595,12,1,2.37,23-06-25 19:47:57
S043,Supplier_S043,M419,Modified Starch,79.32,4.3,-8.07,501,13,0,17.78,23-06-25 19:47:57
S043,Supplier_S043,M447,Gum Arabic,75.69,3.4,0.83,971,13,1,6.97,23-06-25 19:47:57
S043,Supplier_S043,M498,Aspartame,78.22,4.9,-4.21,988,18,0,23.83,23-06-25 19:47:57
S044,Supplier_S044,M122,Onion Powder,97.57,3.5,8.03,718,18,7,8.13,23-06-25 19:47:57
S044,Supplier_S044,M141,Sodium Benzoate,95.98,3.5,4.23,858,7,10,11.78,23-06-25 19:47:57
S044,Supplier_S044,M372,Yeast Extract,70.42,4.1,5.47,960,14,10,14.82,23-06-25 19:47:57
S044,Supplier_S044,M386,Corn Syrup,84.31,4.4,7.38,998,19,7,9.08,23-06-25 19:47:57
S044,Supplier_S044,M439,Sugar,94.54,4.3,-6.82,598,9,9,6.09,23-06-25 19:47:57
S044,Supplier_S044,M460,Citric Acid,97.07,3.8,2.54,649,3,10,4.98,23-06-25 19:47:57
S044,Supplier_S044,M486,Sucrose,85.71,3.5,-8.5,869,4,8,10.6,23-06-25 19:47:57
S045,Supplier_S045,M023,Lactic Acid,84.2,4.8,5.92,183,2,4,15.46,23-06-25 19:47:57
S045,Supplier_S045,M162,Acesulfame K,97.25,3.5,-1.08,162,1,9,18.58,23-06-25 19:47:57
S045,Supplier_S045,M232,Gum Arabic,93.52,4,3.97,639,5,10,1.08,23-06-25 19:47:57
S046,Supplier_S046,M025,Soy Lecithin,85.54,3.1,-5.02,878,3,7,4,23-06-25 19:47:57
S046,Supplier_S046,M033,Vanillin,98.96,3.5,6.16,561,15,7,13.07,23-06-25 19:47:57
S046,Supplier_S046,M111,Annatto Extract,83.89,4.4,-1.52,398,7,3,13.82,23-06-25 19:47:57
S046,Supplier_S046,M180,Brown Sugar,86.54,3.7,6.75,274,2,4,0.82,23-06-25 19:47:57
S046,Supplier_S046,M221,Gum Arabic,98.46,4.3,9.35,763,15,5,1.21,23-06-25 19:47:57
S046,Supplier_S046,M257,Cocoa Powder,76.06,4,-8.02,594,20,6,19.74,23-06-25 19:47:57
S046,Supplier_S046,M342,Sodium Citrate,72,4.5,1.62,589,13,4,18.84,23-06-25 19:47:57
S046,Supplier_S046,M375,Brown Sugar,91.31,3.9,-4.79,330,1,2,14.98,23-06-25 19:47:57
S046,Supplier_S046,M428,Ascorbic Acid,70.64,4.7,8.21,31,4,6,19.65,23-06-25 19:47:57
S047,Supplier_S047,M034,Tapioca Starch,80.64,3.5,-4.41,620,8,8,0.3,23-06-25 19:47:57
S047,Supplier_S047,M065,Lactic Acid,82.02,3.3,2.66,41,2,8,6.45,23-06-25 19:47:57
S047,Supplier_S047,M076,Milk Solids,90.29,3.5,-1.12,301,14,3,16.02,23-06-25 19:47:57
S047,Supplier_S047,M240,Sugar,75.3,4,9.91,879,20,8,16.02,23-06-25 19:47:57
S047,Supplier_S047,M286,Ascorbic Acid,73.54,4.7,5.99,434,13,0,10.01,23-06-25 19:47:57
S047,Supplier_S047,M404,Gum Arabic,95.01,3.3,-7.23,661,14,7,20.02,23-06-25 19:47:57
S047,Supplier_S047,M452,Yeast Extract,70.18,4.7,-8.6,207,1,10,29.76,23-06-25 19:47:57
S047,Supplier_S047,M489,Acetic Acid,73.26,3.9,6.79,175,4,5,22.41,23-06-25 19:47:57
S048,Supplier_S048,M114,Salt,86.87,4.9,1.15,147,12,3,7.65,23-06-25 19:47:57
S048,Supplier_S048,M216,Monosodium Glutamate,97.97,5,-0.77,572,2,4,20.15,23-06-25 19:47:57
S048,Supplier_S048,M255,Annatto Extract,85.93,3.9,6.39,564,11,7,0.02,23-06-25 19:47:57
S048,Supplier_S048,M256,Corn,94.57,3.4,3.66,794,17,2,18.39,23-06-25 19:47:57
S048,Supplier_S048,M271,Sodium Benzoate,85.02,3.9,8.53,32,1,3,27.67,23-06-25 19:47:57
S048,Supplier_S048,M276,Skimmed Milk Powder,84.22,3.3,-5.47,428,0,4,28.51,23-06-25 19:47:57
S048,Supplier_S048,M495,Sodium Bicarbonate,86.55,4.7,-3.38,769,11,9,15.87,23-06-25 19:47:57
S049,Supplier_S049,M011,Cheddar Cheese,82.93,3.8,-0.66,756,1,10,19.6,23-06-25 19:47:57
S049,Supplier_S049,M044,Glucono Delta Lactone,88.27,3.5,-6.83,574,0,8,12.24,23-06-25 19:47:57
S049,Supplier_S049,M267,Fumaric Acid,74.68,4.5,-8.28,767,1,3,28.47,23-06-25 19:47:57
S049,Supplier_S049,M387,Yeast Extract,74.35,3.5,6.84,888,17,3,2.58,23-06-25 19:47:57
S049,Supplier_S049,M436,Disodium Guanylate,98.26,3.8,-1.23,883,17,0,11.24,23-06-25 19:47:57
S049,Supplier_S049,M438,Yeast Extract,79.87,4.9,2.78,321,2,2,3.13,23-06-25 19:47:57
S050,Supplier_S050,M036,Sucrose,92.16,3.6,1.79,788,16,9,8.49,23-06-25 19:47:57
S050,Supplier_S050,M077,Pectin,82.56,3.3,-6.01,629,4,4,1.57,23-06-25 19:47:57
S050,Supplier_S050,M344,Tomato Powder,79.49,4.7,6,287,11,1,16.03,23-06-25 19:47:57
S050,Supplier_S050,M390,Lactic Acid,91.46,3.9,7.66,750,12,6,24.99,23-06-25 19:47:57
S050,Supplier_S050,M417,Tapioca Starch,99.76,4.4,0.66,268,17,7,0.06,23-06-25 19:47:57
S050,Supplier_S050,M456,Pectin,83.09,3.5,8.26,749,11,8,21.27,23-06-25 19:47:57
S050,Supplier_S050,M472,Caramel Color,74.34,3.4,4.97,762,20,0,10.87,23-06-25 19:47:57
S051,Supplier_S051,M070,Acetic Acid,92.63,4.5,-1.02,956,18,10,19.06,23-06-25 19:47:57
S051,Supplier_S051,M217,Baking Powder,88.59,4.8,-3.64,471,10,9,19.78,23-06-25 19:47:57
S051,Supplier_S051,M271,Sodium Benzoate,79.15,4,4.89,28,11,10,10.56,23-06-25 19:47:57
S051,Supplier_S051,M371,Whey Protein,70.69,4.1,2.24,244,2,7,5.95,23-06-25 19:47:57
S051,Supplier_S051,M428,Ascorbic Acid,96.55,3.7,-5.8,477,7,5,24.28,23-06-25 19:47:57
S051,Supplier_S051,M434,Disodium Guanylate,99.94,5,5.05,767,17,4,0.26,23-06-25 19:47:57
S052,Supplier_S052,M088,Vegetable Oil,96.74,4.7,4.24,959,20,2,23.81,23-06-25 19:47:57
S052,Supplier_S052,M089,Gum Arabic,94.11,4.1,2.24,98,2,4,11.94,23-06-25 19:47:57
S052,Supplier_S052,M103,Maltodextrin,75.27,4.8,9.94,416,15,2,28.1,23-06-25 19:47:57
S052,Supplier_S052,M145,Sodium Citrate,96.46,3.6,7.49,907,8,1,19.64,23-06-25 19:47:57
S052,Supplier_S052,M156,Sodium Bicarbonate,93.54,4.5,-5.15,387,18,7,29.93,23-06-25 19:47:57
S052,Supplier_S052,M186,Sodium Benzoate,75.41,3.2,-3.35,191,10,10,1.74,23-06-25 19:47:57
S052,Supplier_S052,M237,Cheddar Cheese,90.27,4.3,2.28,792,17,0,25.44,23-06-25 19:47:57
S052,Supplier_S052,M290,Milk Solids,97.71,4.5,0.47,804,10,2,23.08,23-06-25 19:47:57
S052,Supplier_S052,M353,Palm Oil,91.4,4.2,-4.54,818,20,6,10.68,23-06-25 19:47:57
S052,Supplier_S052,M409,Corn Syrup,78.08,3.6,1.06,77,15,0,12.22,23-06-25 19:47:57
S052,Supplier_S052,M440,Fumaric Acid,87.08,4,-0.75,50,2,4,19.39,23-06-25 19:47:57
S053,Supplier_S053,M230,Sodium Bicarbonate,79.2,3.7,4.11,763,4,10,3.57,23-06-25 19:47:57
S053,Supplier_S053,M394,Skimmed Milk Powder,74.71,3.6,-1.17,528,15,1,4.63,23-06-25 19:47:57
S053,Supplier_S053,M427,Onion Powder,75.97,3.6,-5.62,278,5,5,25.43,23-06-25 19:47:57
S054,Supplier_S054,M017,Sodium Bicarbonate,95.38,3.2,-1.53,293,1,0,10.01,23-06-25 19:47:57
S054,Supplier_S054,M187,Sugar,89,3.8,9.31,402,0,0,16.01,23-06-25 19:47:57
S054,Supplier_S054,M258,Corn,84.74,4.8,-8.4,830,20,0,10.83,23-06-25 19:47:57
S054,Supplier_S054,M361,Dextrose,79.4,3.8,-4.97,537,14,10,22.9,23-06-25 19:47:57
S054,Supplier_S054,M416,Tomato Powder,87.64,4.5,-7.45,965,18,3,26.43,23-06-25 19:47:57
S054,Supplier_S054,M477,Potatoes,94.02,3.2,-7.42,221,20,2,2.63,23-06-25 19:47:57
S055,Supplier_S055,M034,Tapioca Starch,89.38,4,5.86,105,9,3,12.13,23-06-25 19:47:57
S055,Supplier_S055,M162,Acesulfame K,81.49,3.8,2.85,826,16,3,18.92,23-06-25 19:47:57
S055,Supplier_S055,M360,Aspartame,72.76,4.7,-8.11,354,8,1,16.99,23-06-25 19:47:57
S055,Supplier_S055,M380,Potatoes,94.05,3.6,5.96,771,2,8,28.56,23-06-25 19:47:57
S056,Supplier_S056,M036,Sucrose,73.02,3.4,-5.45,193,9,0,21.24,23-06-25 19:47:57
S056,Supplier_S056,M404,Gum Arabic,87.19,4.1,8.01,810,12,7,25.03,23-06-25 19:47:57
S056,Supplier_S056,M445,Garlic Powder,71.03,4.4,-5.68,723,1,10,24.35,23-06-25 19:47:57
S057,Supplier_S057,M002,Salt,78.35,4.7,5.18,173,13,5,8.34,23-06-25 19:47:57
S057,Supplier_S057,M006,Corn,90.41,4.2,-2.3,620,14,8,7.54,23-06-25 19:47:57
S057,Supplier_S057,M107,Vanillin,87.87,4.6,0.51,550,11,1,27.52,23-06-25 19:47:57
S057,Supplier_S057,M184,Fumaric Acid,77.76,4.6,5.26,197,10,10,2.68,23-06-25 19:47:57
S057,Supplier_S057,M218,Vegetable Oil,80.76,3.6,1.03,189,20,9,2.46,23-06-25 19:47:57
S057,Supplier_S057,M265,Baking Powder,78.69,3.8,-7.36,94,15,9,22.36,23-06-25 19:47:57
S057,Supplier_S057,M500,Garlic Powder,89.19,4.9,-4.44,146,8,0,19.27,23-06-25 19:47:57
S058,Supplier_S058,M030,Disodium Guanylate,93.44,4.3,5.08,982,7,3,25.18,23-06-25 19:47:57
S058,Supplier_S058,M079,Potatoes,97.92,4.7,3,820,4,2,1.15,23-06-25 19:47:57
S058,Supplier_S058,M155,Corn Syrup,82.49,4.4,-4.57,89,18,5,3.58,23-06-25 19:47:57
S058,Supplier_S058,M185,Annatto Extract,82.61,4.8,-2.57,609,9,7,25.54,23-06-25 19:47:57
S058,Supplier_S058,M234,Vanillin,96.28,4.6,1.5,720,14,6,16.9,23-06-25 19:47:57
S058,Supplier_S058,M314,Tapioca Starch,99.75,3.7,-3.94,66,20,10,2.72,23-06-25 19:47:57
S058,Supplier_S058,M383,Glucono Delta Lactone,90.53,3.6,-5.03,447,9,9,1.43,23-06-25 19:47:57
S059,Supplier_S059,M010,Whey Protein,97.16,4.7,-8.58,253,8,10,14.56,23-06-25 19:47:57
S059,Supplier_S059,M237,Cheddar Cheese,95.05,4.7,-2.88,807,3,1,27.61,23-06-25 19:47:57
S059,Supplier_S059,M347,Monosodium Glutamate,84.53,3.9,-6.07,43,16,9,1.78,23-06-25 19:47:57
S061,Supplier_S061,M024,Ascorbic Acid,90.89,4,-5.12,681,0,1,23.35,23-06-25 19:47:57
S061,Supplier_S061,M113,Citric Acid,99.57,4,-1.73,291,1,8,28.46,23-06-25 19:47:57
S061,Supplier_S061,M140,Barley Malt Extract,88.48,4.6,6.27,834,1,9,10.52,23-06-25 19:47:57
S061,Supplier_S061,M169,Yeast Extract,99.47,3.3,7.71,100,20,5,13.4,23-06-25 19:47:57
S061,Supplier_S061,M172,Cocoa Powder,81.79,4.1,-0.18,65,11,0,12.83,23-06-25 19:47:57
S061,Supplier_S061,M206,Lactic Acid,78.63,4.3,8.53,406,13,10,9.38,23-06-25 19:47:57
S061,Supplier_S061,M272,Modified Starch,94.36,4.3,7.57,921,0,8,28.47,23-06-25 19:47:57
S061,Supplier_S061,M496,Lactic Acid,76.3,3.8,7.74,143,20,9,3.61,23-06-25 19:47:57
S062,Supplier_S062,M131,Disodium Guanylate,74.62,3.8,-2.46,469,19,7,17.47,23-06-25 19:47:57
S062,Supplier_S062,M198,Skimmed Milk Powder,71.51,3.4,2.87,422,7,1,13.77,23-06-25 19:47:57
S063,Supplier_S063,M099,Ascorbic Acid,85.56,4.1,9.96,499,16,6,9.41,23-06-25 19:47:57
S063,Supplier_S063,M253,Vegetable Oil,72.68,3.3,-8.17,643,10,10,1.8,23-06-25 19:47:57
S063,Supplier_S063,M278,Sodium Bicarbonate,86.14,5,-9.21,406,16,10,28.88,23-06-25 19:47:57
S063,Supplier_S063,M395,Ascorbic Acid,80.24,4,-8.3,391,13,5,18.88,23-06-25 19:47:57
S064,Supplier_S064,M020,Natural Flavors,75.79,3.7,7.29,1000,8,5,19.24,23-06-25 19:47:57
S064,Supplier_S064,M155,Corn Syrup,83.95,3.6,6.9,345,2,8,13.7,23-06-25 19:47:57
S064,Supplier_S064,M179,Sucralose,85.15,4.3,-7.52,41,7,5,14.66,23-06-25 19:47:57
S064,Supplier_S064,M218,Vegetable Oil,92.19,3.9,6.8,147,10,7,13.89,23-06-25 19:47:57
S064,Supplier_S064,M248,Disodium Guanylate,77.19,4.5,8.2,836,8,4,19.45,23-06-25 19:47:57
S064,Supplier_S064,M441,Sucralose,90.96,3.1,7.71,171,8,10,16.13,23-06-25 19:47:57
S064,Supplier_S064,M463,Brown Sugar,71.37,4.6,-3.49,464,7,9,14.54,23-06-25 19:47:57
S065,Supplier_S065,M128,Aspartame,79.14,4.9,-3.36,645,12,5,13.21,23-06-25 19:47:57
S065,Supplier_S065,M131,Disodium Guanylate,86.03,4.8,7.39,438,17,0,23.72,23-06-25 19:47:57
S065,Supplier_S065,M241,Fumaric Acid,86.81,4.9,-4.85,30,13,1,10.53,23-06-25 19:47:57
S065,Supplier_S065,M348,Sucralose,71.99,4.3,5.09,811,3,9,6.16,23-06-25 19:47:57
S065,Supplier_S065,M412,Potatoes,73.69,3.3,1.13,296,13,3,18.31,23-06-25 19:47:57
S066,Supplier_S066,M051,Fumaric Acid,98.36,5,-4.02,995,13,4,13.71,23-06-25 19:47:57
S066,Supplier_S066,M054,Sucrose,99.02,3.6,7.41,833,3,7,28.89,23-06-25 19:47:57
S066,Supplier_S066,M070,Acetic Acid,75.2,3.3,5.18,87,5,10,14.82,23-06-25 19:47:57
S066,Supplier_S066,M312,Whey Protein,72.22,4.6,-2.34,350,1,4,28.67,23-06-25 19:47:57
S066,Supplier_S066,M363,Garlic Powder,88.04,3.8,-7.73,206,0,3,23.91,23-06-25 19:47:57
S066,Supplier_S066,M408,Paprika Extract,74.63,4.9,3.57,70,19,5,5.44,23-06-25 19:47:57
S067,Supplier_S067,M106,Paprika Extract,80.79,3.5,3.36,486,9,2,12.16,23-06-25 19:47:57
S067,Supplier_S067,M247,Palm Oil,70.32,4,5.17,149,11,4,14.08,23-06-25 19:47:57
S067,Supplier_S067,M313,Sunflower Oil,74.47,4.3,8.66,690,12,4,4.55,23-06-25 19:47:57
S067,Supplier_S067,M364,Vegetable Oil,90.15,4.8,-2.06,869,4,3,3.36,23-06-25 19:47:57
S067,Supplier_S067,M377,Sodium Benzoate,84.01,3.2,7.9,516,1,7,10.7,23-06-25 19:47:57
S067,Supplier_S067,M480,Salt,97.11,3.8,-8.33,270,13,2,16.08,23-06-25 19:47:57
S068,Supplier_S068,M040,Potassium Sorbate,87.69,4.6,-6.04,127,17,3,19.43,23-06-25 19:47:57
S068,Supplier_S068,M055,Ascorbic Acid,98.21,3.2,-5.32,35,19,8,9.84,23-06-25 19:47:57
S068,Supplier_S068,M060,Garlic Powder,73.8,3.8,-7.73,75,15,7,23.34,23-06-25 19:47:57
S068,Supplier_S068,M245,Soy Lecithin,78.53,4.3,-7.37,868,5,0,1.05,23-06-25 19:47:57
S069,Supplier_S069,M085,Whey Protein,73.08,3.7,-4.09,466,19,6,5,23-06-25 19:47:57
S069,Supplier_S069,M115,Acesulfame K,86.77,4,7.39,350,9,0,6.35,23-06-25 19:47:57
S069,Supplier_S069,M178,Potassium Sorbate,85.2,3.3,7.03,910,18,0,5.21,23-06-25 19:47:57
S069,Supplier_S069,M362,Disodium Inosinate,94.27,4.7,8.14,967,18,10,1.8,23-06-25 19:47:57
S069,Supplier_S069,M410,Onion Powder,79.14,3.8,-8.32,661,16,3,23.49,23-06-25 19:47:57
S069,Supplier_S069,M489,Acetic Acid,81.84,4.5,8.02,174,6,7,28.79,23-06-25 19:47:57
S070,Supplier_S070,M065,Lactic Acid,82.59,3.7,-2.6,748,10,9,17.89,23-06-25 19:47:57
S070,Supplier_S070,M078,Onion Powder,97.16,3.3,-1.25,979,7,7,26.54,23-06-25 19:47:57
S070,Supplier_S070,M102,Pectin,74.12,4.9,9.56,171,13,10,28.05,23-06-25 19:47:57
S070,Supplier_S070,M249,Annatto Extract,70.44,3.4,-1.6,814,15,5,13.91,23-06-25 19:47:57
S070,Supplier_S070,M412,Potatoes,95.18,3.8,-2.97,657,6,9,25.22,23-06-25 19:47:57
S071,Supplier_S071,M037,Caramel Color,99.23,4.1,3.95,139,20,7,3.08,23-06-25 19:47:57
S071,Supplier_S071,M046,Pectin,78.49,3.6,1.74,685,15,2,13.4,23-06-25 19:47:57
S071,Supplier_S071,M058,Dextrose,76.16,4.7,1.08,610,6,3,9.86,23-06-25 19:47:57
S071,Supplier_S071,M176,Sucrose,97.51,3,4.01,611,16,6,3.38,23-06-25 19:47:57
S071,Supplier_S071,M187,Sugar,93.21,4.2,-6.83,814,2,2,18.43,23-06-25 19:47:57
S071,Supplier_S071,M234,Vanillin,85.19,4.1,0.06,358,3,8,28.7,23-06-25 19:47:57
S071,Supplier_S071,M272,Modified Starch,90.34,4.7,3.73,437,7,9,4.58,23-06-25 19:47:57
S071,Supplier_S071,M319,Brown Sugar,70.47,4,-9.87,193,2,10,17.81,23-06-25 19:47:57
S071,Supplier_S071,M440,Fumaric Acid,99.73,3.9,6.49,629,7,8,9.87,23-06-25 19:47:57
S071,Supplier_S071,M470,Garlic Powder,87.22,4.3,-5.69,308,12,0,29.43,23-06-25 19:47:57
S071,Supplier_S071,M475,Yeast Extract,83.35,3,-7.67,134,15,10,20.06,23-06-25 19:47:57
S071,Supplier_S071,M484,Potassium Sorbate,98.25,4.8,6.28,322,20,1,28.42,23-06-25 19:47:57
S071,Supplier_S071,M496,Lactic Acid,72.25,4.1,-3.14,752,15,3,16.01,23-06-25 19:47:57
S072,Supplier_S072,M123,Fumaric Acid,87.61,4.5,4.25,417,2,4,4.87,23-06-25 19:47:57
S072,Supplier_S072,M198,Skimmed Milk Powder,92.36,3,-1.93,46,17,8,0.01,23-06-25 19:47:57
S072,Supplier_S072,M240,Sugar,87.14,5,3.72,843,3,4,24.12,23-06-25 19:47:57
S072,Supplier_S072,M354,Glucono Delta Lactone,75.37,4.2,-3.46,320,19,9,2.89,23-06-25 19:47:57
S072,Supplier_S072,M418,Natural Flavors,87.15,3.1,4.75,716,13,1,27.51,23-06-25 19:47:57
S073,Supplier_S073,M371,Whey Protein,82.43,3.4,7.53,977,18,3,0.62,23-06-25 19:47:57
S073,Supplier_S073,M404,Gum Arabic,94.57,4,-7.55,367,2,0,12.53,23-06-25 19:47:57
S073,Supplier_S073,M435,Pectin,98.37,4.6,5.16,22,15,10,15.38,23-06-25 19:47:57
S073,Supplier_S073,M472,Caramel Color,91.03,4.1,-8.05,341,18,0,25.49,23-06-25 19:47:57
S074,Supplier_S074,M013,Onion Powder,76.53,3.1,4.71,72,10,0,1.5,23-06-25 19:47:57
S074,Supplier_S074,M080,Corn,95.1,4,0.72,657,16,9,7.26,23-06-25 19:47:57
S074,Supplier_S074,M084,Maltodextrin,95.86,3.1,3.11,289,3,5,13.11,23-06-25 19:47:57
S074,Supplier_S074,M268,Tapioca Starch,80.3,4.6,-3.9,492,0,5,6.27,23-06-25 19:47:57
S074,Supplier_S074,M351,Sodium Citrate,79.36,5,-1.12,577,13,4,29.55,23-06-25 19:47:57
S074,Supplier_S074,M453,Cheddar Cheese,80.79,3.8,-0.59,442,16,9,22.05,23-06-25 19:47:57
S075,Supplier_S075,M081,Aspartame,70.05,3.7,1.41,201,2,8,29.24,23-06-25 19:47:57
S075,Supplier_S075,M156,Sodium Bicarbonate,93.28,4.5,0.93,825,7,2,0.19,23-06-25 19:47:57
S075,Supplier_S075,M299,Sucralose,97.4,3.6,8.87,455,11,1,17.48,23-06-25 19:47:57
S076,Supplier_S076,M007,Vegetable Oil,85.23,3.2,2.51,871,20,8,18.27,23-06-25 19:47:57
S076,Supplier_S076,M050,Yeast Extract,81.25,3.3,0.62,589,5,2,5.25,23-06-25 19:47:57
S076,Supplier_S076,M052,Palm Oil,94.99,4.8,5.51,245,19,5,6.57,23-06-25 19:47:57
S076,Supplier_S076,M207,Acesulfame K,75.32,4.4,-6.26,187,16,1,11.32,23-06-25 19:47:57
S076,Supplier_S076,M430,Baking Powder,99.05,4.8,-5.82,93,15,10,18.45,23-06-25 19:47:57
S076,Supplier_S076,M500,Garlic Powder,77.47,4.6,0.69,11,20,5,18.98,23-06-25 19:47:57
S077,Supplier_S077,M028,Skimmed Milk Powder,95.6,4.9,-1.62,775,17,9,26.93,23-06-25 19:47:57
S077,Supplier_S077,M093,Potassium Sorbate,90.66,3.3,-1.69,485,6,5,18.2,23-06-25 19:47:57
S077,Supplier_S077,M098,Cocoa Powder,93.49,4.6,1.55,748,1,9,14.41,23-06-25 19:47:57
S077,Supplier_S077,M104,Dextrose,79.92,4.5,2.97,745,5,0,22.1,23-06-25 19:47:57
S077,Supplier_S077,M134,Brown Sugar,82.79,3.9,5.96,654,5,2,19.21,23-06-25 19:47:57
S077,Supplier_S077,M147,Vegetable Oil,93.2,4.5,-7.34,703,4,1,15.92,23-06-25 19:47:57
S077,Supplier_S077,M241,Fumaric Acid,77.63,4.7,-8.07,772,10,4,10.83,23-06-25 19:47:57
S077,Supplier_S077,M287,Sunflower Oil,79.72,3,3.72,359,12,9,18.48,23-06-25 19:47:57
S077,Supplier_S077,M400,Milk Solids,70.16,3.7,-5.28,773,18,9,21.44,23-06-25 19:47:57
S077,Supplier_S077,M488,Dextrose,84.76,3.2,0.29,167,13,1,27.39,23-06-25 19:47:57
S078,Supplier_S078,M113,Citric Acid,96.39,4.8,2.52,447,17,7,1.41,23-06-25 19:47:57
S078,Supplier_S078,M247,Palm Oil,93.94,4.2,5.94,571,11,3,12.35,23-06-25 19:47:57
S078,Supplier_S078,M398,Corn Syrup,71.11,3.7,4.5,767,4,8,29.76,23-06-25 19:47:57
S078,Supplier_S078,M453,Cheddar Cheese,87.29,4.9,-5.97,893,15,1,28.53,23-06-25 19:47:57
S078,Supplier_S078,M465,Acesulfame K,99.89,5,-0.66,927,14,1,14.47,23-06-25 19:47:57
S078,Supplier_S078,M494,Glucono Delta Lactone,78.08,3.6,-2.98,438,7,5,26.85,23-06-25 19:47:57
S078,Supplier_S078,M500,Garlic Powder,91.25,4.1,-6.58,56,17,3,8.76,23-06-25 19:47:57
S079,Supplier_S079,M035,Brown Sugar,87.45,3.9,0.62,445,17,5,10.55,23-06-25 19:47:57
S079,Supplier_S079,M067,Paprika Extract,75.27,3.8,4.07,522,17,10,24.19,23-06-25 19:47:57
S079,Supplier_S079,M157,Natural Flavors,92.44,4.2,0.11,662,12,1,17.76,23-06-25 19:47:57
S079,Supplier_S079,M185,Annatto Extract,75.84,3.2,3.61,552,9,6,1.62,23-06-25 19:47:57
S079,Supplier_S079,M289,Garlic Powder,81.15,4.7,-3.95,547,9,2,3.37,23-06-25 19:47:57
S079,Supplier_S079,M335,Cocoa Powder,75.26,4.4,8.09,823,4,2,7.14,23-06-25 19:47:57
S079,Supplier_S079,M459,Pectin,93.93,4.6,-4.62,224,12,4,0.19,23-06-25 19:47:57
S080,Supplier_S080,M009,Palm Oil,76.74,3.7,1.77,245,18,3,0.22,23-06-25 19:47:57
S080,Supplier_S080,M053,Monosodium Glutamate,71,3.7,-7.37,941,9,5,22.42,23-06-25 19:47:57
S080,Supplier_S080,M074,Citric Acid,89.3,3.7,-7.44,729,16,1,19.38,23-06-25 19:47:57
S081,Supplier_S081,M071,Sucralose,85.22,3.6,-0.96,68,11,4,2.3,23-06-25 19:47:57
S081,Supplier_S081,M238,Skimmed Milk Powder,97.48,3.6,-5.56,600,4,0,15.77,23-06-25 19:47:57
S082,Supplier_S082,M079,Potatoes,97.18,3,-5.69,163,17,9,15.83,23-06-25 19:47:57
S082,Supplier_S082,M101,Cheddar Cheese,86.81,4.9,4.43,304,3,9,20.3,23-06-25 19:47:57
S082,Supplier_S082,M134,Brown Sugar,71.34,4.4,-9.55,361,20,1,20.31,23-06-25 19:47:57
S082,Supplier_S082,M336,Corn Syrup,73.79,3.5,-6.31,585,1,10,9.51,23-06-25 19:47:57
S082,Supplier_S082,M469,Palm Oil,81.86,4.1,-0.79,158,9,3,14.99,23-06-25 19:47:57
S083,Supplier_S083,M091,Tomato Powder,89.23,4.2,1.61,185,19,9,10.13,23-06-25 19:47:57
S083,Supplier_S083,M155,Corn Syrup,90.2,3.1,-5.54,538,1,6,2.07,23-06-25 19:47:57
S083,Supplier_S083,M178,Potassium Sorbate,92.78,4.7,6.42,537,5,1,9.33,23-06-25 19:47:57
S083,Supplier_S083,M261,Ascorbic Acid,83.42,3.8,4.53,301,19,0,15.53,23-06-25 19:47:57
S083,Supplier_S083,M379,Sucrose,70.87,3.9,4.15,501,14,10,28.66,23-06-25 19:47:57
S083,Supplier_S083,M448,Corn,89.74,3.6,2.48,54,2,3,12.33,23-06-25 19:47:57
S084,Supplier_S084,M125,Sunflower Oil,82.96,4.4,3.21,97,19,4,23.94,23-06-25 19:47:57
S084,Supplier_S084,M246,Corn,99.25,4.1,-4.55,465,4,8,5.31,23-06-25 19:47:57
